record_id,blast_target_id,blast_evalue,blast_bitscore,blast_alignment_length,blast_identity_pct,blast_identity_frac,nhmmer_target_id,nhmmer_evalue,nhmmer_bitscore,nhmmer_alignment_length,nhmmer_identity_frac,nhmmer_identity_pct,best_tool,best_target_id,best_evalue,best_bitscore,best_alignment_length,best_identity_frac,best_identity_pct,has_hit,novelty_category
eva_sample_28,CP004372.1/986811-987001,0.087,41.0,27.0,92.593,0.92593,,,,,,,blastn,CP004372.1/986811-987001,0.087,41.0,27.0,0.92593,92.593,True,identical_near
eva_sample_29,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_30,,,,,,,MLAU01031979.1/1-1415,3.2e-14,59.0,421.0,0.7866666666666666,78.66666666666666,nhmmer,MLAU01031979.1/1-1415,3.2e-14,59.0,421.0,0.7866666666666666,78.66666666666666,True,remote_homolog
eva_sample_31,,,,,,,LHQN01025588.1/542-101,0.045,19.8,294.0,0.535,53.5,nhmmer,LHQN01025588.1/542-101,0.045,19.8,294.0,0.535,53.5,True,remote_homolog
eva_sample_32,CP000820.1/7030866-7030492,2.67e-05,51.8,38.0,89.474,0.8947400000000001,CP007446.1/1043623-1043263,0.00019,28.5,359.0,0.688953488372093,68.8953488372093,blastn,CP000820.1/7030866-7030492,2.67e-05,51.8,38.0,0.8947400000000001,89.474,True,remote_homolog
eva_sample_33,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_34,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_35,CM000008.3/889653-887395,0.007,44.6,48.0,83.333,0.83333,,,,,,,blastn,CM000008.3/889653-887395,0.007,44.6,48.0,0.83333,83.333,True,remote_homolog
eva_sample_36,MGYI01000040.1/15438-15037,4.5e-09,64.4,42.0,95.238,0.95238,JH651384.1/3770092-3770458,0.0031,24.6,367.0,0.6895604395604396,68.95604395604396,blastn,MGYI01000040.1/15438-15037,4.5e-09,64.4,42.0,0.95238,95.238,True,identical_near
eva_sample_37,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_38,,,,,,,HG723330.1/311-12,2.5e-13,56.3,276.0,0.39666666666666667,39.666666666666664,nhmmer,HG723330.1/311-12,2.5e-13,56.3,276.0,0.39666666666666667,39.666666666666664,True,remote_homolog
eva_sample_39,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_40,,,,,,,BX950851.1/927307-926945,0.061,19.8,357.0,0.6393034825870647,63.93034825870647,nhmmer,BX950851.1/927307-926945,0.061,19.8,357.0,0.6393034825870647,63.93034825870647,True,remote_homolog
eva_sample_41,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_42,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_43,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_44,AWGM01138337.1/10308-10235,0.002,42.8,23.0,100.0,1.0,,,,,,,blastn,AWGM01138337.1/10308-10235,0.002,42.8,23.0,1.0,100.0,True,identical_near
eva_sample_45,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_46,,,,,,,MLAU01033334.1/3152-1,2.8e-07,36.5,220.0,0.9683333333333334,96.83333333333334,nhmmer,MLAU01033334.1/3152-1,2.8e-07,36.5,220.0,0.9683333333333334,96.83333333333334,True,identical_near
eva_sample_47,MFAZ01000040.1/13746-13660,7.24e-06,53.6,57.0,85.965,0.85965,,,,,,,blastn,MFAZ01000040.1/13746-13660,7.24e-06,53.6,57.0,0.85965,85.965,True,remote_homolog
eva_sample_48,AY911531.1/1-237,0.025,42.8,23.0,100.0,1.0,LHQN01009145.1/1669-1225,1.3e-21,82.9,398.0,0.315,31.5,blastn,AY911531.1/1-237,0.025,42.8,23.0,1.0,100.0,True,identical_near
eva_sample_49,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_50,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_51,AADN04016925.1/267-4388,3.22e-07,59.0,91.0,78.022,0.78022,,,,,,,blastn,AADN04016925.1/267-4388,3.22e-07,59.0,91.0,0.78022,78.022,True,remote_homolog
eva_sample_52,,,,,,,LHQN01009145.1/1669-1225,0.025,20.3,187.0,0.5116666666666667,51.16666666666667,nhmmer,LHQN01009145.1/1669-1225,0.025,20.3,187.0,0.5116666666666667,51.16666666666667,True,remote_homolog
eva_sample_53,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_54,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_55,AAFX01088509.1/935-572,8.06e-06,53.6,29.0,100.0,1.0,MHDQ01000224.1/14074-14438,1.5e-05,32.0,364.0,0.6648199445983379,66.4819944598338,blastn,AAFX01088509.1/935-572,8.06e-06,53.6,29.0,1.0,100.0,True,identical_near
eva_sample_56,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_57,,,,,,,HG723330.1/311-12,7.2e-24,91.1,287.0,0.395,39.5,nhmmer,HG723330.1/311-12,7.2e-24,91.1,287.0,0.395,39.5,True,remote_homolog
eva_sample_58,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_59,,,,,,,AACT01016732.1/1-1458,0.0061,22.5,135.0,0.895,89.5,nhmmer,AACT01016732.1/1-1458,0.0061,22.5,135.0,0.895,89.5,True,remote_homolog
eva_sample_60,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_61,,,,,,,HG723330.1/311-12,2.9e-22,85.5,285.0,0.35333333333333333,35.333333333333336,nhmmer,HG723330.1/311-12,2.9e-22,85.5,285.0,0.35333333333333333,35.333333333333336,True,remote_homolog
eva_sample_62,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_63,CP000563.1/1487294-1486939,7.5e-06,54.5,34.0,97.059,0.97059,FRDI01000004.1/100065-100420,1.8e-05,31.5,355.0,0.6982248520710059,69.8224852071006,blastn,CP000563.1/1487294-1486939,7.5e-06,54.5,34.0,0.97059,97.059,True,identical_near
eva_sample_64,,,,,,,LHQN01025588.1/542-101,0.037,20.0,251.0,0.5433333333333333,54.333333333333336,nhmmer,LHQN01025588.1/542-101,0.037,20.0,251.0,0.5433333333333333,54.333333333333336,True,remote_homolog
eva_sample_65,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_66,MGYU01000102.1/4431-4070,5.33e-08,61.7,36.0,97.222,0.97222,FQTU01000004.1/109295-108947,6.6e-05,30.2,349.0,0.6873239436619718,68.73239436619718,blastn,MGYU01000102.1/4431-4070,5.33e-08,61.7,36.0,0.97222,97.222,True,identical_near
eva_sample_67,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_68,,,,,,,LHQN01009145.1/1669-1225,5.6e-54,189.9,357.0,0.54,54.0,nhmmer,LHQN01009145.1/1669-1225,5.6e-54,189.9,357.0,0.54,54.0,True,remote_homolog
eva_sample_69,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_70,MLBG01000029.1/33242-33599,0.013,42.8,28.0,92.857,0.92857,MHDQ01000224.1/14074-14438,0.012,22.5,363.0,0.7104477611940299,71.04477611940298,blastn,MLBG01000029.1/33242-33599,0.013,42.8,28.0,0.92857,92.857,True,identical_near
eva_sample_71,,,,,,,LJIA01000001.1/53602-53970,0.065,20.3,362.0,0.7084548104956269,70.8454810495627,nhmmer,LJIA01000001.1/53602-53970,0.065,20.3,362.0,0.7084548104956269,70.8454810495627,True,remote_homolog
eva_sample_72,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_73,KB372778.1/740128-739775,3.73e-09,64.4,35.0,100.0,1.0,FR881992.1/3645-4018,4.9e-05,30.3,365.0,0.742671009771987,74.2671009771987,blastn,KB372778.1/740128-739775,3.73e-09,64.4,35.0,1.0,100.0,True,identical_near
eva_sample_74,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_75,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_76,KB372778.1/740128-739775,2.16e-07,59.9,35.0,97.143,0.97143,FR901138.1/59365-59733,0.0099,22.3,368.0,0.6412776412776413,64.12776412776412,blastn,KB372778.1/740128-739775,2.16e-07,59.9,35.0,0.97143,97.143,True,identical_near
eva_sample_77,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_78,LQCK02000006.1/33336-33752,0.087,41.9,44.0,84.091,0.8409099999999999,,,,,,,blastn,LQCK02000006.1/33336-33752,0.087,41.9,44.0,0.8409099999999999,84.091,True,remote_homolog
eva_sample_79,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_80,,,,,,,LHQN01025588.1/542-101,7.7e-16,64.3,386.0,0.55,55.00000000000001,nhmmer,LHQN01025588.1/542-101,7.7e-16,64.3,386.0,0.55,55.00000000000001,True,remote_homolog
eva_sample_81,KI391948.1/376229-376596,0.087,41.9,25.0,96.0,0.96,,,,,,,blastn,KI391948.1/376229-376596,0.087,41.9,25.0,0.96,96.0,True,identical_near
eva_sample_82,FP565575.1/2200973-2200624,0.025,43.7,31.0,90.323,0.90323,,,,,,,blastn,FP565575.1/2200973-2200624,0.025,43.7,31.0,0.90323,90.323,True,identical_near
eva_sample_83,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_84,,,,,,,CBUX010001239.1/600-319,2.5e-09,43.0,216.0,0.31,31.0,nhmmer,CBUX010001239.1/600-319,2.5e-09,43.0,216.0,0.31,31.0,True,remote_homolog
eva_sample_85,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_86,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_87,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_88,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_89,MHNY01000003.1/1-1247,0.087,41.0,27.0,92.593,0.92593,,,,,,,blastn,MHNY01000003.1/1-1247,0.087,41.0,27.0,0.92593,92.593,True,identical_near
eva_sample_90,LFJF01005415.1/39415-39293,0.002,47.3,52.0,82.692,0.8269199999999999,CBUT010031524.1/725-445,1.7e-57,201.1,270.0,0.3466666666666667,34.66666666666667,blastn,LFJF01005415.1/39415-39293,0.002,47.3,52.0,0.8269199999999999,82.692,True,remote_homolog
eva_sample_91,HG725814.1/9292-9038,3.01e-39,166.0,228.0,77.193,0.77193,HG723330.1/311-12,6.5e-61,212.5,285.0,0.38166666666666665,38.166666666666664,blastn,HG725814.1/9292-9038,3.01e-39,166.0,228.0,0.77193,77.193,True,remote_homolog
eva_sample_92,HG675758.1/17157-16885,5.45e-36,154.0,205.0,76.585,0.7658499999999999,CM008316.1/27496716-27496462,3.2e-50,177.6,241.0,0.3616666666666667,36.16666666666667,blastn,HG675758.1/17157-16885,5.45e-36,154.0,205.0,0.7658499999999999,76.585,True,remote_homolog
eva_sample_93,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_94,CM000567.1/9088003-9088150,0.087,41.9,25.0,96.0,0.96,,,,,,,blastn,CM000567.1/9088003-9088150,0.087,41.9,25.0,0.96,96.0,True,identical_near
eva_sample_95,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_96,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_97,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_98,MEPR01000036.1/27405-27755,0.000106,50.9,35.0,91.429,0.91429,HE576794.1/999095-998745,0.0092,22.5,350.0,0.6330749354005168,63.30749354005169,blastn,MEPR01000036.1/27405-27755,0.000106,50.9,35.0,0.91429,91.429,True,identical_near
eva_sample_99,AADN04010412.1/6154-6950,0.002,47.3,57.0,78.947,0.78947,MLAU01031979.1/1-1415,4.3e-09,42.7,332.0,0.7533333333333333,75.33333333333333,blastn,AADN04010412.1/6154-6950,0.002,47.3,57.0,0.78947,78.947,True,remote_homolog
eva_sample_100,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_101,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_102,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_103,CBUX010012730.1/1224-958,1.37e-05,54.5,102.0,71.569,0.71569,CBUT010013491.1/860-551,0.04,19.7,111.0,0.43,43.0,blastn,CBUX010012730.1/1224-958,1.37e-05,54.5,102.0,0.71569,71.569,True,remote_homolog
eva_sample_104,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_105,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_106,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_107,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_108,CP011307.1/469618-469263,4.79e-05,51.8,33.0,93.939,0.93939,,,,,,,blastn,CP011307.1/469618-469263,4.79e-05,51.8,33.0,0.93939,93.939,True,identical_near
eva_sample_109,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_110,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_111,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_112,GL378071.1/4852-2865,3.68e-19,98.7,119.0,78.151,0.7815099999999999,GL378071.1/4852-2865,1.1e-08,41.2,163.0,0.925,92.5,nhmmer,GL378071.1/4852-2865,1.1e-08,41.2,163.0,0.925,92.5,True,identical_near
eva_sample_113,CM002496.1/19285452-19286869,0.025,43.7,31.0,90.323,0.90323,,,,,,,blastn,CM002496.1/19285452-19286869,0.025,43.7,31.0,0.90323,90.323,True,identical_near
eva_sample_114,JRYO01000028.1/19985-19632,1.52e-06,55.4,35.0,94.286,0.94286,LSKU01000001.1/2156808-2156446,0.0037,24.9,146.0,0.7909836065573771,79.09836065573771,blastn,JRYO01000028.1/19985-19632,1.52e-06,55.4,35.0,0.94286,94.286,True,identical_near
eva_sample_115,LPUT01000012.1/488280-488642,0.087,41.0,39.0,84.615,0.84615,,,,,,,blastn,LPUT01000012.1/488280-488642,0.087,41.0,39.0,0.84615,84.615,True,remote_homolog
eva_sample_116,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_117,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_118,HG673868.1/10900-10667,1.37e-05,53.6,118.0,75.424,0.75424,,,,,,,blastn,HG673868.1/10900-10667,1.37e-05,53.6,118.0,0.75424,75.424,True,remote_homolog
eva_sample_119,LN794158.1/663090-663455,2.8e-05,51.8,38.0,89.474,0.8947400000000001,CP016503.1/304014-304379,0.095,19.0,366.0,0.6545961002785515,65.45961002785515,blastn,LN794158.1/663090-663455,2.8e-05,51.8,38.0,0.8947400000000001,89.474,True,remote_homolog
eva_sample_120,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_121,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_122,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_123,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_124,LT629758.1/10499007-10498511,0.000167,50.0,53.0,83.019,0.8301900000000001,,,,,,,blastn,LT629758.1/10499007-10498511,0.000167,50.0,53.0,0.8301900000000001,83.019,True,remote_homolog
eva_sample_125,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_126,AFXA01000011.1/216254-216632,3.6e-06,55.4,30.0,100.0,1.0,,,,,,,blastn,AFXA01000011.1/216254-216632,3.6e-06,55.4,30.0,1.0,100.0,True,identical_near
eva_sample_127,CP003969.1/10624541-10624885,0.000245,48.2,43.0,86.047,0.86047,,,,,,,blastn,CP003969.1/10624541-10624885,0.000245,48.2,43.0,0.86047,86.047,True,remote_homolog
eva_sample_128,MICM01000254.1/3160-2831,3.73e-10,68.9,47.0,93.617,0.9361700000000001,CP019509.1/2025579-2025941,0.00038,27.3,362.0,0.659400544959128,65.9400544959128,blastn,MICM01000254.1/3160-2831,3.73e-10,68.9,47.0,0.9361700000000001,93.617,True,identical_near
eva_sample_129,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_130,BDFN01002323.1/51-1648,0.087,41.0,48.0,83.333,0.83333,,,,,,,blastn,BDFN01002323.1/51-1648,0.087,41.0,48.0,0.83333,83.333,True,remote_homolog
eva_sample_131,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_132,,,,,,,CBUT010059338.1/48-406,6.9e-06,32.1,293.0,0.4166666666666667,41.66666666666667,nhmmer,CBUT010059338.1/48-406,6.9e-06,32.1,293.0,0.4166666666666667,41.66666666666667,True,remote_homolog
eva_sample_133,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_134,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_135,GL348713.1/2485397-2485312,0.087,41.0,27.0,92.593,0.92593,,,,,,,blastn,GL348713.1/2485397-2485312,0.087,41.0,27.0,0.92593,92.593,True,identical_near
eva_sample_136,,,,,,,CM008316.1/27496716-27496462,7.6e-38,136.7,244.0,0.39166666666666666,39.166666666666664,nhmmer,CM008316.1/27496716-27496462,7.6e-38,136.7,244.0,0.39166666666666666,39.166666666666664,True,remote_homolog
eva_sample_137,,,,,,,LADT01000084.1/17410-17799,0.024,21.2,68.0,0.43833333333333335,43.833333333333336,nhmmer,LADT01000084.1/17410-17799,0.024,21.2,68.0,0.43833333333333335,43.833333333333336,True,remote_homolog
eva_sample_138,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_139,AE017180.1/1874135-1874490,3.77e-08,60.8,33.0,100.0,1.0,,,,,,,blastn,AE017180.1/1874135-1874490,3.77e-08,60.8,33.0,1.0,100.0,True,identical_near
eva_sample_140,CP007053.1/4961015-4961370,8.01e-06,54.5,34.0,97.059,0.97059,ABBZ01002621.1/234-612,0.0025,25.0,365.0,0.6796657381615598,67.96657381615599,blastn,CP007053.1/4961015-4961370,8.01e-06,54.5,34.0,0.97059,97.059,True,identical_near
eva_sample_141,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_142,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_143,KI260415.1/27267-26895,4.79e-05,52.7,31.0,96.774,0.96774,MEPU01000013.1/64665-64313,0.0021,23.9,205.0,0.46,46.0,blastn,KI260415.1/27267-26895,4.79e-05,52.7,31.0,0.96774,96.774,True,identical_near
eva_sample_144,AM180252.1/573061-573436,7.97e-06,53.6,29.0,100.0,1.0,AM180252.1/573061-573436,0.0025,24.6,369.0,0.6862745098039216,68.62745098039215,blastn,AM180252.1/573061-573436,7.97e-06,53.6,29.0,1.0,100.0,True,identical_near
eva_sample_145,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_146,MHZX01000079.1/494-133,0.001,47.3,45.0,84.444,0.8444400000000001,CP019698.1/3056484-3056134,0.076,19.5,349.0,0.6509695290858726,65.09695290858726,blastn,MHZX01000079.1/494-133,0.001,47.3,45.0,0.8444400000000001,84.444,True,remote_homolog
eva_sample_147,FR884057.1/5662-6007,5.01e-06,51.8,54.0,81.481,0.8148099999999999,,,,,,,blastn,FR884057.1/5662-6007,5.01e-06,51.8,54.0,0.8148099999999999,81.481,True,remote_homolog
eva_sample_148,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_149,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_150,AUNE01000047.1/23494-23877,6.74e-07,57.2,50.0,88.0,0.88,AUNE01000047.1/23494-23877,0.0077,22.8,307.0,0.6730245231607629,67.30245231607628,blastn,AUNE01000047.1/23494-23877,6.74e-07,57.2,50.0,0.88,88.0,True,remote_homolog
eva_sample_151,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_152,,,,,,,HG673868.1/10900-10667,1.8e-15,63.9,159.0,0.34,34.0,nhmmer,HG673868.1/10900-10667,1.8e-15,63.9,159.0,0.34,34.0,True,remote_homolog
eva_sample_153,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_154,,,,,,,LHQN01009145.1/1669-1225,7.6e-08,38.3,361.0,0.48333333333333334,48.333333333333336,nhmmer,LHQN01009145.1/1669-1225,7.6e-08,38.3,361.0,0.48333333333333334,48.333333333333336,True,remote_homolog
eva_sample_155,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_156,CP009788.1/1818524-1818879,8.38e-06,54.5,32.0,96.875,0.96875,,,,,,,blastn,CP009788.1/1818524-1818879,8.38e-06,54.5,32.0,0.96875,96.875,True,identical_near
eva_sample_157,LJTK01000352.1/3667-4012,2.28e-06,55.4,30.0,100.0,1.0,MGQN01000046.1/2682-2327,2.1e-05,31.5,355.0,0.6750700280112045,67.50700280112045,blastn,LJTK01000352.1/3667-4012,2.28e-06,55.4,30.0,1.0,100.0,True,identical_near
eva_sample_158,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_159,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_160,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_161,JZQX01000091.1/1297-1653,8.62e-06,53.6,29.0,100.0,1.0,CP002207.1/2891179-2890818,0.0013,25.2,359.0,0.6354166666666666,63.541666666666664,blastn,JZQX01000091.1/1297-1653,8.62e-06,53.6,29.0,1.0,100.0,True,identical_near
eva_sample_162,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_163,MVCX01000033.1/6998-6646,6.3e-07,57.2,48.0,87.5,0.875,FQXS01000034.1/1888-1524,3.3e-05,30.6,364.0,0.7159420289855073,71.59420289855073,blastn,MVCX01000033.1/6998-6646,6.3e-07,57.2,48.0,0.875,87.5,True,remote_homolog
eva_sample_164,CP016171.1/4064236-4064627,1.86e-07,59.0,62.0,85.484,0.8548399999999999,MSXO01000056.1/19146-18766,0.00026,28.0,379.0,0.704225352112676,70.4225352112676,blastn,CP016171.1/4064236-4064627,1.86e-07,59.0,62.0,0.8548399999999999,85.484,True,remote_homolog
eva_sample_165,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_166,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_167,CP001738.1/4567581-4567211,3.03e-05,52.7,36.0,91.667,0.91667,,,,,,,blastn,CP001738.1/4567581-4567211,3.03e-05,52.7,36.0,0.91667,91.667,True,identical_near
eva_sample_168,CP003989.2/2762553-2762426,0.025,42.8,35.0,88.571,0.88571,,,,,,,blastn,CP003989.2/2762553-2762426,0.025,42.8,35.0,0.88571,88.571,True,remote_homolog
eva_sample_169,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_170,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_171,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_172,AE017263.1/242816-242409,0.05,41.0,22.0,100.0,1.0,,,,,,,blastn,AE017263.1/242816-242409,0.05,41.0,22.0,1.0,100.0,True,identical_near
eva_sample_173,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_174,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_175,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_176,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_177,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_178,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_179,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_180,CP002047.1/11234013-11234087,0.025,42.8,33.0,87.879,0.8787900000000001,,,,,,,blastn,CP002047.1/11234013-11234087,0.025,42.8,33.0,0.8787900000000001,87.879,True,remote_homolog
eva_sample_181,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_182,MERG01000199.1/8612-8247,5.11e-08,61.7,56.0,85.714,0.85714,CP011971.1/1502432-1502079,0.013,22.5,242.0,0.6979472140762464,69.79472140762464,blastn,MERG01000199.1/8612-8247,5.11e-08,61.7,56.0,0.85714,85.714,True,remote_homolog
eva_sample_183,,,,,,,,,,,,,,,,,,,,False,no_hit
