record_id,blast_target_id,blast_evalue,blast_bitscore,blast_alignment_length,blast_identity_pct,blast_identity_frac,nhmmer_target_id,nhmmer_evalue,nhmmer_bitscore,nhmmer_alignment_length,nhmmer_identity_frac,nhmmer_identity_pct,best_tool,best_target_id,best_evalue,best_bitscore,best_alignment_length,best_identity_frac,best_identity_pct,has_hit,novelty_category
sample_2260,AP006716.1/2500338-2498788,0.0,717,412,98.544,0.98544,AP006716.1/2500338-2498788,3.1e-123,417.0,412.0,0.9855072463768116,98.55072463768117,nhmmer,AP006716.1/2500338-2498788,3.1e-123,417.0,412.0,0.9855072463768116,98.55072463768117,True,identical_near
sample_1810,CP000725.1/2178566-2177010,0.0,643,361,99.446,0.99446,CP000725.1/2178566-2177010,1.1e-108,368.8,360.0,0.997229916897507,99.7229916897507,nhmmer,CP000725.1/2178566-2177010,1.1e-108,368.8,360.0,0.997229916897507,99.7229916897507,True,identical_near
sample_4027,LM430356.1/689-1,0.0,646,393,96.438,0.96438,DF145142.1/5209-3668,4.9e-111,377.2,393.0,0.9669211195928753,96.69211195928753,nhmmer,DF145142.1/5209-3668,4.9e-111,377.2,393.0,0.9669211195928753,96.69211195928753,True,identical_near
sample_5080,CP000029.1/150375-151925,0.0,699,397,98.992,0.98992,CP000029.1/150375-151925,1.1e-118,401.8,396.0,0.9924433249370277,99.24433249370277,nhmmer,CP000029.1/150375-151925,1.1e-118,401.8,396.0,0.9924433249370277,99.24433249370277,True,identical_near
sample_806,LWAE01000022.1/4361-2854,0.0,747,439,97.722,0.97722,LWAE01000001.1/134945-136456,1.4e-127,431.5,438.0,0.9817767653758542,98.17767653758543,nhmmer,LWAE01000001.1/134945-136456,1.4e-127,431.5,438.0,0.9817767653758542,98.17767653758543,True,identical_near
sample_152,ADMN01000083.1/697-1,0.0,683,421,95.962,0.95962,CP013476.1/1122933-1121417,2.8e-117,397.9,421.0,0.9667458432304038,96.67458432304038,nhmmer,CP013476.1/1122933-1121417,2.8e-117,397.9,421.0,0.9667458432304038,96.67458432304038,True,identical_near
sample_4896,DS027472.1/1139-1,0.0,719,411,98.783,0.98783,LDJK01000058.1/5124-3578,5.7e-122,412.9,411.0,0.9878345498783455,98.78345498783455,nhmmer,LDJK01000058.1/5124-3578,5.7e-122,412.9,411.0,0.9878345498783455,98.78345498783455,True,identical_near
sample_1175,CP007031.1/3427432-3425905,0.0,704,450,94.667,0.94667,CP007031.1/1451654-1453181,2.8e-123,417.8,449.0,0.9511111111111111,95.11111111111111,nhmmer,CP007031.1/1451654-1453181,2.8e-123,417.8,449.0,0.9511111111111111,95.11111111111111,True,identical_near
sample_2187,CP000880.1/2664363-2662822,0.0,778,431,100.0,1.0,AE006468.2/3572014-3570473,1.1e-131,445.0,431.0,1.0,100.0,nhmmer,AE006468.2/3572014-3570473,1.1e-131,445.0,431.0,1.0,100.0,True,identical_near
sample_6273,CP000880.1/2664363-2662822,0.0,778,431,100.0,1.0,AE006468.2/3572014-3570473,1.1e-131,445.0,431.0,1.0,100.0,nhmmer,AE006468.2/3572014-3570473,1.1e-131,445.0,431.0,1.0,100.0,True,identical_near
sample_8974,CP000880.1/2664363-2662822,0.0,778,431,100.0,1.0,AE006468.2/3572014-3570473,1.1e-131,445.0,431.0,1.0,100.0,nhmmer,AE006468.2/3572014-3570473,1.1e-131,445.0,431.0,1.0,100.0,True,identical_near
sample_3667,CP019323.1/858939-860515,0.0,676,392,98.214,0.98214,AZDG01000033.1/5037-3464,4e-115,390.2,391.0,0.9872448979591837,98.72448979591837,nhmmer,AZDG01000033.1/5037-3464,4e-115,390.2,391.0,0.9872448979591837,98.72448979591837,True,identical_near
sample_5117,KQ483358.1/3629733-3628199,1.45e-167,591,385,94.026,0.94026,KQ483358.1/1086236-1087770,4.4e-103,350.7,384.0,0.9402597402597402,94.02597402597402,blastn,KQ483358.1/3629733-3628199,1.45e-167,591.0,385.0,0.94026,94.026,True,identical_near
sample_5421,LFJF01047558.1/10263-12408,1.16e-27,125,74,97.297,0.97297,GG745390.1/34889-28108,3.3e-13,57.2,83.0,0.9963369963369964,99.63369963369964,nhmmer,GG745390.1/34889-28108,3.3e-13,57.2,83.0,0.9963369963369964,99.63369963369964,True,identical_near
sample_7192,DS027472.1/1139-1,0.0,710,406,98.768,0.98768,LDJK01000058.1/5124-3578,2.8e-120,407.3,406.0,0.9876847290640394,98.76847290640394,nhmmer,LDJK01000058.1/5124-3578,2.8e-120,407.3,406.0,0.9876847290640394,98.76847290640394,True,identical_near
sample_1264,MWFK01000002.1/2120599-2119074,0.0,868,481,100.0,1.0,LISW01000013.1/64-1589,1.2e-145,491.4,481.0,1.0,100.0,nhmmer,LISW01000013.1/64-1589,1.2e-145,491.4,481.0,1.0,100.0,True,identical_near
sample_929,CP000880.1/2664363-2662822,0.0,770,431,99.768,0.99768,AE006468.2/3572014-3570473,4.4e-130,439.7,431.0,1.0,100.0,nhmmer,AE006468.2/3572014-3570473,4.4e-130,439.7,431.0,1.0,100.0,True,identical_near
sample_7009,CP000029.1/150375-151925,0.0,750,423,99.291,0.99291,CP000029.1/150375-151925,2.9e-128,433.5,423.0,0.9929078014184397,99.29078014184397,blastn,CP000029.1/150375-151925,0.0,750.0,423.0,0.99291,99.291,True,identical_near
sample_5766,CAFK01000252.1/134-1622,0.0,741,413,99.758,0.9975799999999999,CAFK01000252.1/134-1622,4.3e-125,423.0,412.0,0.9975786924939467,99.75786924939467,blastn,CAFK01000252.1/134-1622,0.0,741.0,413.0,0.9975799999999999,99.758,True,identical_near
sample_6955,CP000029.1/150375-151925,0.0,705,408,98.284,0.98284,CP000029.1/150375-151925,6.3e-121,409.4,408.0,0.9828431372549019,98.2843137254902,nhmmer,CP000029.1/150375-151925,6.3e-121,409.4,408.0,0.9828431372549019,98.2843137254902,True,identical_near
sample_5582,CP001101.1/149102-150603,0.0,693,401,98.504,0.98504,CP001101.1/121453-122954,1.2e-118,401.7,395.0,0.99,99.0,nhmmer,CP001101.1/121453-122954,1.2e-118,401.7,395.0,0.99,99.0,True,identical_near
sample_1234,CP016591.1/2981999-2980511,0.0,679,401,97.506,0.97506,LMHH01000002.1/266274-264786,8.8e-117,395.9,400.0,0.9750623441396509,97.50623441396509,nhmmer,LMHH01000002.1/266274-264786,8.8e-117,395.9,400.0,0.9750623441396509,97.50623441396509,True,identical_near
sample_2165,LAZH01000029.1/1574-9,5.1700000000000005e-173,609,369,97.019,0.9701900000000001,LAZH01000029.1/1574-9,2.7e-103,351.5,368.0,0.9728997289972899,97.289972899729,nhmmer,LAZH01000029.1/1574-9,2.7e-103,351.5,368.0,0.9728997289972899,97.289972899729,True,identical_near
sample_8633,FP929061.1/44189-45721,0.0,677,375,100.0,1.0,FP929061.1/44189-45721,1.5e-113,385.1,375.0,1.0,100.0,nhmmer,FP929061.1/44189-45721,1.5e-113,385.1,375.0,1.0,100.0,True,identical_near
sample_1804,CP000360.1/5261568-5260067,1.25e-168,595,401,93.017,0.9301699999999999,CP000360.1/5261568-5260067,6.1e-106,360.0,399.0,0.9303482587064676,93.03482587064677,nhmmer,CP000360.1/5261568-5260067,6.1e-106,360.0,399.0,0.9303482587064676,93.03482587064677,True,identical_near
sample_6661,CP002205.1/696458-697976,1.4300000000000002e-160,568,337,97.329,0.97329,CP002205.1/1570997-1569479,4.7e-95,324.3,336.0,0.9851632047477745,98.51632047477746,nhmmer,CP002205.1/1570997-1569479,4.7e-95,324.3,336.0,0.9851632047477745,98.51632047477746,True,identical_near
sample_5123,CP010554.1/779055-780622,0.0,731,429,98.135,0.9813500000000001,CP010554.1/2459704-2458137,1.8e-125,423.9,428.0,0.9859484777517564,98.59484777517564,nhmmer,CP010554.1/2459704-2458137,1.8e-125,423.9,428.0,0.9859484777517564,98.59484777517564,True,identical_near
sample_54,CP000029.1/150375-151925,0.0,737,418,99.043,0.99043,CP000029.1/150375-151925,8.3e-126,425.4,418.0,0.9904306220095693,99.04306220095694,nhmmer,CP000029.1/150375-151925,8.3e-126,425.4,418.0,0.9904306220095693,99.04306220095694,True,identical_near
sample_7014,LT629692.1/2945734-2944213,0.0,658,425,94.588,0.9458799999999999,LMGR01000001.1/2520677-2519151,1.2e-114,389.3,424.0,0.9505882352941176,95.05882352941177,nhmmer,LMGR01000001.1/2520677-2519151,1.2e-114,389.3,424.0,0.9505882352941176,95.05882352941177,True,identical_near
sample_7185,AP014648.1/3304536-3303046,9.55e-164,578,400,92.0,0.92,AP014648.1/3304536-3303046,9.5e-102,346.4,399.0,0.93,93.0,nhmmer,AP014648.1/3304536-3303046,9.5e-102,346.4,399.0,0.93,93.0,True,identical_near
sample_1925,CP000029.1/150375-151925,0.0,755,423,99.527,0.99527,CP000029.1/150375-151925,1e-128,434.9,423.0,0.9952718676122931,99.52718676122932,nhmmer,CP000029.1/150375-151925,1e-128,434.9,423.0,0.9952718676122931,99.52718676122932,True,identical_near
sample_5150,LJHO01000010.1/106145-107629,0.0,648,374,98.396,0.9839600000000001,LJHO01000010.1/106145-107629,4.8e-109,370.5,374.0,0.983957219251337,98.3957219251337,blastn,LJHO01000010.1/106145-107629,0.0,648.0,374.0,0.9839600000000001,98.396,True,identical_near
sample_725,BCMY01000192.1/1-1541,6.61e-178,625,363,98.347,0.98347,BCMY01000192.1/1-1541,2.6e-105,358.0,361.0,0.9834710743801653,98.34710743801654,nhmmer,BCMY01000192.1/1-1541,2.6e-105,358.0,361.0,0.9834710743801653,98.34710743801654,True,identical_near
sample_3408,JXXW01000070.1/216-1748,0.0,641,375,97.867,0.97867,JXXW01000070.1/216-1748,5.8e-109,370.0,375.0,0.9786666666666667,97.86666666666667,blastn,JXXW01000070.1/216-1748,0.0,641.0,375.0,0.97867,97.867,True,identical_near
sample_2987,FQZL01000075.1/1-1331,3.49e-150,533,378,91.799,0.9179900000000001,FQZL01000075.1/1-1331,3.5e-95,324.7,392.0,0.9336734693877551,93.36734693877551,nhmmer,FQZL01000075.1/1-1331,3.5e-95,324.7,392.0,0.9336734693877551,93.36734693877551,True,identical_near
sample_3909,LWFF01000116.1/1063-1,4.910000000000001e-167,590,374,94.92,0.9492,LNBY01000017.1/124460-125945,1.9e-102,348.7,374.0,0.9545454545454546,95.45454545454545,nhmmer,LNBY01000017.1/124460-125945,1.9e-102,348.7,374.0,0.9545454545454546,95.45454545454545,True,identical_near
sample_949,LJHY01000006.1/224-1726,0.0,685,382,99.738,0.99738,LJHY01000006.1/224-1726,1e-114,389.1,381.0,0.9973821989528796,99.73821989528795,nhmmer,LJHY01000006.1/224-1726,1e-114,389.1,381.0,0.9973821989528796,99.73821989528795,True,identical_near
sample_539,DS027472.1/1139-1,0.0,704,400,99.0,0.99,LDJK01000058.1/5124-3578,7.9e-119,402.5,399.0,0.99,99.0,nhmmer,LDJK01000058.1/5124-3578,7.9e-119,402.5,399.0,0.99,99.0,True,identical_near
sample_7262,MWQY01000051.1/399-1924,3.66e-143,510,364,91.484,0.91484,MWQY01000051.1/399-1924,3.6e-90,308.2,363.0,0.953168044077135,95.31680440771349,nhmmer,MWQY01000051.1/399-1924,3.6e-90,308.2,363.0,0.953168044077135,95.31680440771349,True,identical_near
sample_7184,LWEK01001698.1/22-1555,1.02e-156,554,378,93.122,0.93122,LWEK01001675.1/5476-3943,7.1e-96,327.4,377.0,0.946949602122016,94.6949602122016,nhmmer,LWEK01001675.1/5476-3943,7.1e-96,327.4,377.0,0.946949602122016,94.6949602122016,True,identical_near
sample_342,URS0000D56C2C_1280/6-1539,0.0,746,418,99.522,0.9952200000000001,CP000253.1/1906484-1904933,3.7e-127,429.8,418.0,0.9952153110047847,99.52153110047847,blastn,URS0000D56C2C_1280/6-1539,0.0,746.0,418.0,0.9952200000000001,99.522,True,identical_near
sample_7521,CP014616.1/4653090-4651539,0.0,645,373,98.928,0.9892799999999999,CP014616.1/1102049-1103600,1.2e-106,362.6,367.0,0.9946236559139785,99.46236559139786,nhmmer,CP014616.1/1102049-1103600,1.2e-106,362.6,367.0,0.9946236559139785,99.46236559139786,True,identical_near
sample_5507,AEUW02000001.1/1209830-1208283,0.0,705,435,96.092,0.96092,FM204884.1/18036-19589,6.3e-124,419.0,433.0,0.9654377880184332,96.54377880184332,nhmmer,FM204884.1/18036-19589,6.3e-124,419.0,433.0,0.9654377880184332,96.54377880184332,True,identical_near
sample_4576,URS0000D56C2C_1280/6-1539,0.0,708,397,99.496,0.99496,CP000253.1/1906484-1904933,5.1e-120,406.2,396.0,0.9974811083123426,99.74811083123426,nhmmer,CP000253.1/1906484-1904933,5.1e-120,406.2,396.0,0.9974811083123426,99.74811083123426,True,identical_near
sample_9094,AEUN01000485.1/1-1169,0.0,743,416,99.76,0.9976,AEUN01000485.1/1-1169,8.9e-125,422.2,414.0,1.0,100.0,nhmmer,AEUN01000485.1/1-1169,8.9e-125,422.2,414.0,1.0,100.0,True,identical_near
sample_7933,AMSI01000044.1/396-1880,0.0,655,380,98.421,0.98421,AMSI01000044.1/396-1880,4.9e-110,373.8,378.0,0.9842105263157894,98.42105263157895,nhmmer,AMSI01000044.1/396-1880,4.9e-110,373.8,378.0,0.9842105263157894,98.42105263157895,True,identical_near
sample_9540,ACSH02000003.1/1975-421,0.0,706,402,99.005,0.99005,ACSH02000003.1/1975-421,6e-118,399.7,401.0,0.9925187032418953,99.25187032418953,nhmmer,ACSH02000003.1/1975-421,6e-118,399.7,401.0,0.9925187032418953,99.25187032418953,True,identical_near
sample_7171,AP012978.1/2213332-2211832,4.5200000000000005e-155,550,393,91.349,0.91349,LVKA01000008.1/154383-155924,1.9e-95,325.8,409.0,0.948849104859335,94.8849104859335,nhmmer,LVKA01000008.1/154383-155924,1.9e-95,325.8,409.0,0.948849104859335,94.8849104859335,True,identical_near
sample_6364,CP015961.1/873444-874959,0.0,700,426,96.948,0.9694799999999999,CP015961.1/1610475-1611990,5.8e-119,403.5,424.0,0.9741176470588235,97.41176470588235,nhmmer,CP015961.1/1610475-1611990,5.8e-119,403.5,424.0,0.9741176470588235,97.41176470588235,True,identical_near
sample_3154,MCIC01000017.1/232-1760,1.27e-180,634,361,98.892,0.9889199999999999,MCIC01000005.1/5294-3766,1.9e-106,361.8,360.0,0.9889196675900277,98.89196675900277,blastn,MCIC01000017.1/232-1760,1.27e-180,634.0,361.0,0.9889199999999999,98.892,True,identical_near
sample_9645,LDJK01000058.1/5124-3578,0.0,707,399,99.248,0.99248,LDJK01000058.1/5124-3578,5.2e-119,403.1,399.0,0.9924812030075187,99.24812030075188,nhmmer,LDJK01000058.1/5124-3578,5.2e-119,403.1,399.0,0.9924812030075187,99.24812030075188,True,identical_near
sample_1125,CP007032.1/180162-181727,0.0,769,462,97.186,0.9718600000000001,CP007032.1/133119-134684,2.8e-131,443.9,461.0,0.9782608695652174,97.82608695652173,nhmmer,CP007032.1/133119-134684,2.8e-131,443.9,461.0,0.9782608695652174,97.82608695652173,True,identical_near
sample_1411,CP010552.1/653653-652109,7.869999999999999e-126,452,333,90.991,0.90991,AGIF02000001.1/461952-463485,5.7e-77,265.3,332.0,0.9491017964071856,94.91017964071857,nhmmer,AGIF02000001.1/461952-463485,5.7e-77,265.3,332.0,0.9491017964071856,94.91017964071857,True,identical_near
sample_6805,FTOF01000024.1/350-1866,0.0,729,424,98.113,0.98113,FTOF01000024.1/350-1866,3.4e-123,417.2,423.0,0.9858490566037735,98.58490566037736,nhmmer,FTOF01000024.1/350-1866,3.4e-123,417.2,423.0,0.9858490566037735,98.58490566037736,True,identical_near
sample_4247,CP001819.1/4149072-4147549,0.0,691,407,97.789,0.97789,CP001819.1/2476111-2474588,6.3e-116,393.3,406.0,0.9778869778869779,97.78869778869779,blastn,CP001819.1/4149072-4147549,0.0,691.0,407.0,0.97789,97.789,True,identical_near
sample_4158,DS562844.1/224445-223907,5.959999999999999e-115,416,334,88.323,0.88323,DS562850.1/46910-47805,1.9e-73,254.1,342.0,0.8742857142857143,87.42857142857143,blastn,DS562844.1/224445-223907,5.959999999999999e-115,416.0,334.0,0.88323,88.323,True,remote_homolog
sample_3557,DS027472.1/1139-1,0.0,647,376,98.138,0.98138,LDJK01000058.1/5124-3578,1.7e-109,371.8,376.0,0.9813829787234043,98.13829787234043,nhmmer,LDJK01000058.1/5124-3578,1.7e-109,371.8,376.0,0.9813829787234043,98.13829787234043,True,identical_near
sample_7466,AP006716.1/2500338-2498788,0.0,719,413,98.547,0.98547,AP006716.1/2500338-2498788,2.6e-123,417.3,413.0,0.9854721549636803,98.54721549636804,nhmmer,AP006716.1/2500338-2498788,2.6e-123,417.3,413.0,0.9854721549636803,98.54721549636804,True,identical_near
sample_8145,LL974006.1/233-1777,0.0,695,390,99.487,0.9948699999999999,LL974006.1/233-1777,4.3e-117,396.6,389.0,0.9948717948717949,99.48717948717949,nhmmer,LL974006.1/233-1777,4.3e-117,396.6,389.0,0.9948717948717949,99.48717948717949,True,identical_near
sample_8089,CP000029.1/150375-151925,0.0,728,408,99.51,0.9951000000000001,CP000029.1/150375-151925,1.4e-123,418.1,408.0,0.9950980392156863,99.50980392156863,blastn,CP000029.1/150375-151925,0.0,728.0,408.0,0.9951000000000001,99.51,True,identical_near
sample_2979,KQ483358.1/3629733-3628199,0.0,664,385,98.442,0.98442,KQ483358.1/1086236-1087770,6.1e-111,376.9,385.0,0.9845360824742269,98.4536082474227,nhmmer,KQ483358.1/1086236-1087770,6.1e-111,376.9,385.0,0.9845360824742269,98.4536082474227,True,identical_near
sample_911,DS999411.1/256591-255058,1.76e-166,587,386,94.041,0.94041,DS999411.1/256591-255058,5.3e-100,340.8,385.0,0.9556135770234987,95.56135770234987,nhmmer,DS999411.1/256591-255058,5.3e-100,340.8,385.0,0.9556135770234987,95.56135770234987,True,identical_near
sample_3341,DS027472.1/1139-1,0.0,681,392,98.469,0.98469,LDJK01000058.1/5124-3578,3.9e-115,390.3,391.0,0.9872448979591837,98.72448979591837,nhmmer,LDJK01000058.1/5124-3578,3.9e-115,390.3,391.0,0.9872448979591837,98.72448979591837,True,identical_near
sample_1121,CP000725.1/2178566-2177010,0.0,638,356,99.719,0.9971899999999999,CP000725.1/2178566-2177010,9.4e-108,365.6,356.0,0.9971910112359551,99.71910112359551,nhmmer,CP000725.1/2178566-2177010,9.4e-108,365.6,356.0,0.9971910112359551,99.71910112359551,True,identical_near
sample_2669,CP000725.1/2178566-2177010,0.0,643,356,100.0,1.0,CP000725.1/2178566-2177010,2.5e-108,367.6,356.0,1.0,100.0,nhmmer,CP000725.1/2178566-2177010,2.5e-108,367.6,356.0,1.0,100.0,True,identical_near
sample_4307,CP001793.1/80156-81709,4.899999999999999e-180,632,402,95.522,0.9552200000000001,CP001793.1/1068500-1070055,3.1e-107,364.7,401.0,0.9672544080604534,96.72544080604534,nhmmer,CP001793.1/1068500-1070055,3.1e-107,364.7,401.0,0.9672544080604534,96.72544080604534,True,identical_near
sample_6113,LDJP01000061.1/4-1548,0.0,711,404,99.01,0.9901000000000001,LDJP01000061.1/4-1548,1.3e-119,405.3,404.0,0.9900990099009901,99.00990099009901,blastn,LDJP01000061.1/4-1548,0.0,711.0,404.0,0.9901000000000001,99.01,True,identical_near
sample_4465,LIAO01000284.1/870-1,0.0,658,367,99.728,0.9972799999999999,LIAO01000284.1/870-1,2e-109,371.6,367.0,0.997275204359673,99.72752043596729,blastn,LIAO01000284.1/870-1,0.0,658.0,367.0,0.9972799999999999,99.728,True,identical_near
sample_6869,MNRF01000435.1/5742-7123,3.09e-131,470,350,89.714,0.8971399999999999,MNRF01000435.1/5742-7123,6.1e-85,291.2,349.0,0.9,90.0,nhmmer,MNRF01000435.1/5742-7123,6.1e-85,291.2,349.0,0.9,90.0,True,identical_near
sample_3584,CP000029.1/150375-151925,0.0,704,395,99.494,0.99494,CP000029.1/150375-151925,3.2e-119,403.7,394.0,0.9949367088607595,99.49367088607595,blastn,CP000029.1/150375-151925,0.0,704.0,395.0,0.99494,99.494,True,identical_near
sample_9722,DS027472.1/1139-1,0.0,662,379,98.681,0.98681,LDJK01000058.1/5124-3578,1e-111,379.0,378.0,0.9868073878627969,98.68073878627969,blastn,DS027472.1/1139-1,0.0,662.0,379.0,0.98681,98.681,True,identical_near
sample_1553,CCSE01000001.1/2186120-2187669,0.0,668,415,95.663,0.95663,CCSE01000001.1/1269637-1268088,8.5e-118,398.8,415.0,0.9688995215311005,96.88995215311004,nhmmer,CCSE01000001.1/1269637-1268088,8.5e-118,398.8,415.0,0.9688995215311005,96.88995215311004,True,identical_near
sample_7316,NHOM01000002.1/629177-630709,0.0,690,382,100.0,1.0,NHOM01000002.1/629177-630709,1.5e-117,397.9,383.0,1.0,100.0,nhmmer,NHOM01000002.1/629177-630709,1.5e-117,397.9,383.0,1.0,100.0,True,identical_near
sample_8413,URS0000B21DF7_1280/1-1547,0.0,698,399,98.747,0.98747,CP000253.1/448820-450372,6.9e-119,402.6,399.0,0.9874686716791979,98.74686716791979,blastn,URS0000B21DF7_1280/1-1547,0.0,698.0,399.0,0.98747,98.747,True,identical_near
sample_5956,LFJF01047558.1/10263-12408,4.9500000000000003e-26,121,74,95.946,0.95946,AACT01017584.1/932-1,1.6e-12,54.8,119.0,0.9343065693430657,93.43065693430657,blastn,LFJF01047558.1/10263-12408,4.9500000000000003e-26,121.0,74.0,0.95946,95.946,True,identical_near
sample_2718,AP006716.1/2500338-2498788,0.0,710,408,98.529,0.98529,AP006716.1/2500338-2498788,1.6e-121,411.3,408.0,0.9852941176470589,98.52941176470588,nhmmer,AP006716.1/2500338-2498788,1.6e-121,411.3,408.0,0.9852941176470589,98.52941176470588,True,identical_near
sample_9634,CP000082.1/660548-662086,0.0,655,388,97.423,0.97423,CP000082.1/2425707-2424169,2.3e-111,378.5,388.0,0.974293059125964,97.42930591259639,nhmmer,CP000082.1/2425707-2424169,2.3e-111,378.5,388.0,0.974293059125964,97.42930591259639,True,identical_near
sample_6207,FQUP01000010.1/5757-4271,0.0,663,439,93.622,0.93622,FQUP01000004.1/589122-587636,1.5e-118,401.9,444.0,0.9465478841870824,94.65478841870824,nhmmer,FQUP01000004.1/589122-587636,1.5e-118,401.9,444.0,0.9465478841870824,94.65478841870824,True,identical_near
